0b1111111111110000000000010,
0b1111111111010000000010010,
0b1111111110110000000110010,
0b1111111110010000001100010,
0b1111111101110000010100010,
0b1111111101010000011110010,
0b1111111100110000101010000,
0b1111111100010000111000000,
0b1111111011110001001000000,
0b1111111011010001011001110,
0b1111111010110001101101110,
0b1111111010010010000011100,
0b1111111001110010011011010,
0b1111111001010010110101000,
0b1111111000110011010000110,
0b1111111000010011101110100,
0b1111110111110100001110000,
0b1111110111010100101111110,
0b1111110110110101010011010,
0b1111110110010101111000110,
0b1111110101110110100000000,
0b1111110101010111001001100,
0b1111110100110111110100110,
0b1111110100011000100010000,
0b1111110011111001010001010,
0b1111110011011010000010010,
0b1111110010111010110101010,
0b1111110010011011101010010,
0b1111110001111100100001000,
0b1111110001011101011010000,
0b1111110000111110010100100,
0b1111110000011111010001010,
0b1111110000000000001111110,
0b1111101111100001010000010,
0b1111101111000010010010100,
0b1111101110100011010110110,
0b1111101110000100011101000,
0b1111101101100101100101000,
0b1111101101000110101111000,
0b1111101100100111111010110,
0b1111101100001001001000100,
0b1111101011101010011000000,
0b1111101011001011101001100,
0b1111101010101100111101000,
0b1111101010001110010010010,
0b1111101001101111101001010,
0b1111101001010001000010010,
0b1111101000110010011101000,
0b1111101000010011111001110,
0b1111100111110101011000100,
0b1111100111010110111001000,
0b1111100110111000011011010,
0b1111100110011001111111010,
0b1111100101111011100101100,
0b1111100101011101001101010,
0b1111100100111110110111000,
0b1111100100100000100010100,
0b1111100100000010010000000,
0b1111100011100011111111010,
0b1111100011000101110000010,
0b1111100010100111100011010,
0b1111100010001001011000000,
0b1111100001101011001110100,
0b1111100001001101000111000,
0b1111100000101111000001010,
0b1111100000010000111101010,
0b1111011111110010111011010,
0b1111011111010100111010110,
0b1111011110110110111100100,
0b1111011110011000111111110,
0b1111011101111011000100110,
0b1111011101011101001011110,
0b1111011100111111010100100,
0b1111011100100001011111000,
0b1111011100000011101011100,
0b1111011011100101111001100,
0b1111011011001000001001100,
0b1111011010101010011011010,
0b1111011010001100101110110,
0b1111011001101111000100000,
0b1111011001010001011011010,
0b1111011000110011110100000,
0b1111011000010110001110110,
0b1111010111111000101011000,
0b1111010111011011001001010,
0b1111010110111101101001010,
0b1111010110100000001011000,
0b1111010110000010101110100,
0b1111010101100101010011110,
0b1111010101000111111010110,
0b1111010100101010100011110,
0b1111010100001101001110010,
0b1111010011101111111010100,
0b1111010011010010101000100,
0b1111010010110101011000010,
0b1111010010011000001010000,
0b1111010001111010111101010,
0b1111010001011101110010010,
0b1111010001000000101001000,
0b1111010000100011100001100,
0b1111010000000110011011110,
0b1111001111101001010111110,
0b1111001111001100010101100,
0b1111001110101111010101000,
0b1111001110010010010110000,
0b1111001101110101011001000,
0b1111001101011000011101100,
0b1111001100111011100100000,
0b1111001100011110101100000,
0b1111001100000001110101110,
0b1111001011100101000001010,
0b1111001011001000001110010,
0b1111001010101011011101010,
0b1111001010001110101101110,
0b1111001001110010000000000,
0b1111001001010101010100000,
0b1111001000111000101001110,
0b1111001000011100000001000,
0b1111000111111111011010010,
0b1111000111100010110101000,
0b1111000111000110010001100,
0b1111000110101001101111100,
0b1111000110001101001111010,
0b1111000101110000110000110,
0b1111000101010100010100000,
0b1111000100110111111000110,
0b1111000100011011011111010,
0b1111000011111111000111100,
0b1111000011100010110001010,
0b1111000011000110011101000,
0b1111000010101010001010000,
0b1111000010001101111001000,
0b1111000001110001101001100,
0b1111000001010101011011100,
0b1111000000111001001111100,
0b1111000000011101000101000,
0b1111000000000000111100000,
0b1110111111100100110100110,
0b1110111111001000101111010,
0b1110111110101100101011010,
0b1110111110010000101001000,
0b1110111101110100101000010,
0b1110111101011000101001010,
0b1110111100111100101011110,
0b1110111100100000110000000,
0b1110111100000100110110000,
0b1110111011101000111101100,
0b1110111011001101000110100,
0b1110111010110001010001010,
0b1110111010010101011101110,
0b1110111001111001101011110,
0b1110111001011101111011010,
0b1110111001000010001100100,
0b1110111000100110011111010,
0b1110111000001010110011110,
0b1110110111101111001001110,
0b1110110111010011100001100,
0b1110110110110111111010110,
0b1110110110011100010101110,
0b1110110110000000110010000,
0b1110110101100101010000010,
0b1110110101001001101111110,
0b1110110100101110010001000,
0b1110110100010010110100000,
0b1110110011110111011000010,
0b1110110011011011111110010,
0b1110110011000000100110000,
0b1110110010100101001111000,
0b1110110010001001111001110,
0b1110110001101110100110010,
0b1110110001010011010100000,
0b1110110000111000000011100,
0b1110110000011100110100110,
0b1110110000000001100111010,
0b1110101111100110011011100,
0b1110101111001011010001010,
0b1110101110110000001000100,
0b1110101110010101000001100,
0b1110101101111001111011110,
0b1110101101011110110111110,
0b1110101101000011110101010,
0b1110101100101000110100100,
0b1110101100001101110101010,
0b1110101011110010110111010,
0b1110101011010111111011000,
0b1110101010111101000000010,
0b1110101010100010000111010,
0b1110101010000111001111100,
0b1110101001101100011001100,
0b1110101001010001100101000,
0b1110101000110110110010000,
0b1110101000011100000000100,
0b1110101000000001010000100,
0b1110100111100110100010000,
0b1110100111001011110101000,
0b1110100110110001001001110,
0b1110100110010110011111110,
0b1110100101111011110111100,
